# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 356, mean track length: 2
356 -12.5358 -4.93484 47.81 0 0 0 0.213926 1 2610 2 2490
355 -7.77765 -5.11788 43.9498 99 76 46 0.14514 1 2595 2 2473
354 -1.23133 -6.05496 48.3182 255 245 177 0.396324 1 2591 2 2463
353 -9.21406 -3.67195 45.5851 175 151 112 0.050182 1 2546 2 2412
352 -11.1594 -4.34904 48.3464 144 113 69 0.500323 1 2545 2 2440
351 8.45421 -5.41441 43.6001 255 252 176 0.154562 1 2544 2 2438
350 -7.44409 -10.0208 50.8954 242 206 133 0.176093 1 2536 2 2402
349 -5.45948 -1.09311 52.2169 197 161 108 0.0644415 1 2526 2 2442
348 -8.6007 -1.02803 50.8859 59 39 24 0.0499802 1 2524 2 2420
347 -10.3158 -0.885792 48.6939 5 0 0 0.776886 1 2478 2 2306
346 -8.45132 -5.43214 42.6284 212 183 132 0.0681012 1 2470 2 2364
345 -7.88571 -6.2995 42.9369 242 209 145 0.505431 1 2465 2 2406
344 -7.26176 -8.5412 48.8716 229 195 128 1.05584 1 2449 2 2265
343 9.12593 -9.94267 49.1655 52 41 34 0.630931 1 2446 2 2256
342 6.31374 -1.0199 52.0339 227 190 135 0.125473 1 2406 2 2379
341 -7.91064 -1.26346 51.2625 161 126 78 0.0138064 1 2402 2 2421
340 5.99356 -2.41969 50.6727 190 155 110 0.00130738 1 2398 2 2296
339 -3.81087 -2.0997 51.7712 160 129 87 0.0913397 1 2397 2 2301
338 -0.779824 -2.92551 51.3644 133 93 56 0.088313 1 2392 2 2294
337 -0.779824 -2.92551 51.3644 133 93 56 0.088313 1 2391 2 2293
336 -4.36877 -2.83189 49.6602 223 191 136 0.0287158 1 2389 2 2292
335 -2.69965 -3.67882 51.5616 245 197 131 0.0557842 1 2387 2 2191
334 -6.04565 -3.86613 48.4396 126 88 45 0.144623 1 2384 2 2285
333 6.03582 -5.37194 46.6698 202 164 115 0.173268 1 2380 2 2278
332 -4.5341 -5.77065 46.3799 218 179 121 0.329523 1 2376 2 2365
331 -8.43795 -6.11727 42.6178 147 112 76 0.0522893 1 2375 2 2272
330 -8.43795 -6.11727 42.6178 147 112 76 0.0522893 1 2374 2 2271
329 -9.41126 -6.49769 43.421 188 156 108 0.143789 1 2368 2 2357
328 -9.23459 -0.534869 48.6341 5 1 0 0.990691 1 2285 2 2309
327 -7.57022 -1.68689 50.8518 132 97 54 0.0111735 1 2280 2 2201
326 -7.13626 -2.06336 50.5485 172 132 85 0.6403 1 2268 2 2299
325 -0.235163 -2.98788 51.3566 232 191 128 0.0933467 1 2264 2 1991
324 -2.45241 -3.28727 51.0622 148 106 66 0.288404 1 2263 2 1979
323 -4.08419 -3.19849 49.658 136 98 57 0.053024 1 2262 2 2190
322 -5.72412 -3.35902 49.6184 202 161 107 0.0731284 1 2258 2 2189
321 8.64378 -4.08821 44.9273 232 202 154 0.168639 1 2256 2 2281
320 7.70789 -3.77091 46.548 232 196 139 0.0233571 1 2253 2 2180
319 -5.18947 -3.50347 49.4546 188 145 89 0.325729 1 2250 2 2287
318 -6.21882 -3.43178 48.6665 211 179 133 0.107785 1 2248 2 2188
317 -8.16654 -4.66877 46.6341 75 50 19 0.133675 1 2244 2 2178
316 7.34573 -5.51143 44.8894 243 212 151 0.182934 1 2240 2 2161
315 5.75111 -5.26476 47.1271 255 239 172 0.101387 1 2239 2 2168
314 4.95889 -5.38841 48.0273 255 244 171 0.0539426 1 2238 2 2175
313 -7.73909 -5.60926 45.1624 63 35 12 0.48819 1 2233 2 2276
312 -7.90047 -5.06046 45.1676 71 47 16 0.0151634 1 2231 2 1916
311 -8.02945 -5.48076 44.2131 166 138 98 0.0133598 1 2229 2 2275
310 5.02089 -5.76643 47.9637 149 111 66 0.0305414 1 2225 2 1907
309 -5.49992 -6.11804 46.3932 255 227 158 0.370188 1 2220 2 2166
308 -10.9416 -5.74674 46.7039 134 104 62 0.0173073 1 2218 2 2165
307 -11.6337 -6.24076 46.9176 177 136 75 0.10082 1 2217 2 2274
306 -8.33071 -6.48704 42.9312 251 220 161 0.198516 1 2206 2 1864
305 7.50073 -8.2309 47.9148 255 241 172 0.592404 1 2195 2 2149
304 -10.2582 -8.11652 44.323 192 158 102 0.0844985 1 2186 2 2134
303 -4.31622 -9.01912 50.088 255 253 200 0.141968 1 2179 2 1855
302 -6.66522 -9.16619 49.9075 146 107 58 0.149823 1 2178 2 2143
301 -8.7992 -0.821379 50.4903 39 24 8 0.0702827 1 2071 2 2027
300 -8.87164 -0.962764 49.3633 110 91 68 0.174813 1 2069 2 2205
299 8.647 -2.22664 47.672 188 160 126 0.221021 1 2055 2 2195
298 8.15063 -2.53586 47.2405 236 203 146 0.138857 1 2053 2 1985
297 3.93066 -2.43338 52.0941 254 209 143 0.307775 1 2049 2 1998
296 -8.64568 -2.19957 47.9849 113 88 62 0.0138259 1 2041 2 1989
295 -8.63872 -2.67557 47.8292 134 108 78 0.0556038 1 2039 2 1988
294 5.20961 -2.91167 52.1169 255 217 149 0.226333 1 2035 2 1608
293 4.76838 -2.94788 52.0839 255 216 149 0.087632 1 2034 2 1999
292 2.9209 -2.92988 51.7684 250 205 141 0.207299 1 2032 2 1994
291 -2.54781 -2.99256 50.9137 255 209 142 0.170569 1 2031 2 1990
290 -7.05267 -3.15198 49.3936 207 169 114 0.100361 1 2029 2 1977
289 -7.60169 -3.15319 49.2792 201 163 112 0.0566617 1 2027 2 1976
288 -8.35175 -2.81756 47.7797 68 43 17 0.00643374 1 2026 2 1973
287 -7.76408 -3.4031 48.9858 111 75 36 0.0924955 1 2011 2 1975
286 -7.91418 -3.61752 48.6008 174 144 103 0.00885094 1 2009 2 1974
285 -7.82846 -4.0117 48.0895 182 150 110 0.00934019 1 2008 2 1959
284 8.25031 -4.88335 43.8991 255 246 183 0.0881245 1 2005 2 1908
283 -5.29629 -4.30704 48.6165 211 175 121 0.0608176 1 1999 2 1960
282 -7.21139 -4.82057 47.3359 227 188 129 0.0884917 1 1998 2 1945
281 -8.25088 -4.53805 45.1769 156 129 91 0.00198056 1 1997 2 1942
280 8.0184 -5.36802 44.5333 255 254 192 0.0413303 1 1993 2 1897
279 7.83165 -5.18051 44.7669 255 220 158 0.328263 1 1992 2 2169
278 4.56949 -5.35984 47.9996 152 115 67 0.0882042 1 1990 2 1928
277 4.56949 -5.35984 47.9996 152 115 67 0.0882042 1 1989 2 1927
276 4.25633 -5.37275 47.9496 255 249 188 0.0563117 1 1988 2 1926
275 1.75387 -5.54861 47.6503 255 251 191 0.0321552 1 1986 2 1904
274 -0.244421 -5.37304 47.7402 252 224 166 0.338473 1 1985 2 2173
273 -3.14283 -5.36012 47.1885 172 147 109 0.502617 1 1978 2 1924
272 8.04545 -6.31765 45.7674 255 240 173 0.143021 1 1963 2 1896
271 4.98015 -6.06569 48.2317 255 245 171 0.474981 1 1960 2 1471
270 -2.39443 -5.9989 47.0009 219 172 112 0.141391 1 1959 2 2167
269 8.29862 -6.43399 44.7815 255 248 182 0.0819932 1 1948 2 1877
268 -8.59701 -6.62263 42.736 187 157 100 0.0673646 1 1939 2 732
267 -4.70466 -7.91656 49.1069 227 200 149 0.375829 1 1929 2 740
266 -7.36258 -7.69281 47.6823 248 206 141 0.175998 1 1926 2 1386
265 6.62697 -8.84908 50.4597 255 231 159 0.195414 1 1918 2 1371
264 -4.79248 -8.45591 49.5854 254 231 170 0.0719233 1 1917 2 1388
